Date,Open,High,Low,Close,Volume,AdjustedClose
20201007,3160,3170,3080,3120,288740100,3043.868
20201008,3150,3170,3110,3150,123924000,3073.136
20201009,3150,3170,3120,3150,81127400,3073.136
20201012,3160,3210,3150,3190,156519700,3112.16
20201013,3190,3300,3150,3280,204438200,3199.964
20201014,3300,3380,3290,3360,193879700,3278.012
20201015,3360,3380,3310,3310,183294800,3229.232
20201016,3340,3360,3210,3250,140443600,3170.696
20201019,3260,3290,3230,3280,96199300,3199.964
20201020,3280,3290,3210,3250,134038300,3170.696
20201021,3280,3310,3230,3240,116981800,3160.94
20201022,3220,3300,3200,3300,160136600,3219.476
20201023,3350,3350,3270,3290,117246500,3209.72
20201026,3300,3360,3290,3340,101222500,3258.5
20201027,3340,3400,3330,3360,183306100,3278.012
20201102,3360,3390,3300,3380,156784000,3297.523
20201103,3390,3400,3360,3380,121456100,3297.523
20201104,3420,3420,3290,3290,138230100,3209.72
20201105,3370,3490,3360,3490,234792600,3404.839
20201106,3510,3600,3470,3560,268767800,3473.131
20201109,3680,3690,3580,3690,257341300,3599.959
20201110,3800,4010,3770,4000,565562100,3902.395
20201111,3970,4190,3950,4120,357098000,4019.466
20201112,4100,4100,3920,3950,333297500,3853.615
20201113,3970,4080,3960,4000,237374000,3902.395
20201116,4050,4070,3930,3960,193022100,3863.371
20201117,4000,4020,3930,3960,180851100,3863.371
20201118,3980,4050,3970,4040,182657300,3941.419
20201119,4010,4130,3980,4040,199700800,3941.419
20201120,4040,4080,3990,4020,124785400,3921.907
20201123,4010,4100,4010,4080,123510900,3980.443
20201124,4120,4230,4080,4200,206164400,4097.514
20201125,4320,4390,4250,4320,283337800,4214.586
20201126,4220,4320,4220,4290,136526100,4185.318
20201127,4330,4370,4270,4270,114940800,4165.806
20201130,4250,4280,3990,4090,448799300,3990.199
20201201,4130,4260,4070,4240,228412600,4136.538
20201202,4320,4340,4250,4300,136348400,4195.074
20201203,4350,4400,4300,4400,198985500,4292.634
20201204,4400,4400,4270,4300,150379700,4195.074
20201207,4350,4420,4350,4400,140849600,4292.634
20201208,4400,4400,4340,4400,81272000,4292.634
20201210,4450,4450,4330,4330,193630600,4224.342
20201211,4400,4400,4260,4280,174446900,4175.562
20201214,4300,4310,4270,4280,127385200,4175.562
20201215,4280,4290,4240,4280,133712000,4175.562
20201216,4340,4350,4300,4320,130044800,4214.586
20201217,4360,4360,4310,4330,141727100,4224.342
20201218,4270,4300,4270,4280,207410700,4175.562
20201221,4330,4340,4210,4210,218968900,4107.27
20201222,4240,4280,4120,4130,171484000,4029.222
20201223,4150,4180,3950,4160,170156900,4058.49
20201228,4250,4260,4160,4250,86117000,4146.294
20201229,4250,4280,4170,4180,75203600,4078.003
20201230,4190,4210,4130,4170,90020900,4068.247
20210104,4150,4320,4150,4310,96568200,4204.83
20210105,4300,4300,4240,4270,97239100,4165.806
20210106,4280,4300,4160,4200,116629000,4097.514
20210107,4260,4290,4210,4280,128905400,4175.562
20210108,4330,4390,4300,4390,186370900,4282.878
20210111,4420,4660,4410,4650,383714500,4536.534
20210112,4680,4770,4670,4720,236714500,4604.826
20210113,4770,4840,4750,4790,210161400,4673.118
20210114,4820,4830,4720,4770,133616600,4653.606
20210115,4770,4770,4550,4580,204714500,4468.242
20210118,4580,4650,4540,4620,165968700,4507.266
20210119,4700,4700,4610,4620,138570500,4507.266
20210120,4670,4920,4650,4890,252471500,4770.677
20210121,4920,4950,4770,4790,161156700,4673.118
20210122,4860,4860,4680,4720,166662700,4604.826
20210125,4790,4790,4610,4780,150250800,4663.362
20210126,4780,4790,4620,4650,148952500,4536.534
20210127,4650,4720,4500,4620,180626300,4507.266
20210128,4580,4650,4420,4470,160243000,4360.926
20210129,4570,4610,4180,4180,280201400,4078.003
20210201,4180,4440,3960,4400,322825100,4292.634
20210202,4490,4490,4260,4360,152295400,4253.61
20210203,4480,4480,4360,4380,112944600,4273.122
20210204,4450,4580,4370,4490,147742900,4380.438
20210205,4540,4540,4420,4470,90003100,4360.926
20210208,4530,4530,4450,4460,109288100,4351.17
20210209,4500,4770,4500,4620,422144400,4507.266
20210210,4630,4710,4600,4650,183774900,4536.534
20210211,4700,4710,4630,4680,90618400,4565.802
20210215,4710,4780,4700,4710,84687800,4595.07
20210216,4740,4740,4660,4670,65111300,4556.046
20210217,4710,4730,4620,4630,92298000,4517.022
20210218,4700,4770,4650,4670,138260600,4556.046
20210219,4600,4790,4600,4790,99893400,4673.118
20210222,4850,4870,4760,4790,143288100,4673.118
20210223,4810,4830,4740,4790,98008100,4673.118
20210224,4790,4820,4710,4730,95982000,4614.582
20210225,4770,4770,4670,4730,119666500,4614.582
20210226,4730,4750,4700,4710,147085100,4595.07
20210301,4800,4830,4720,4830,115471100,4712.142
20210302,4870,4880,4800,4800,68358600,4682.874
20210303,4800,4850,4740,4850,77295700,4731.654
20210304,4850,4850,4730,4760,107177400,4643.85
20210305,4740,4770,4700,4770,64715600,4653.606
20210308,4800,4820,4730,4730,63560400,4614.582
20210309,4750,4750,4560,4580,150476600,4468.242
20210310,4650,4660,4590,4630,70367800,4517.022
20210312,4690,4690,4540,4580,138506800,4468.242
20210315,4580,4630,4560,4570,86801300,4458.486
20210316,4660,4770,4610,4720,137296600,4604.826
20210317,4680,4700,4600,4670,105676200,4556.046
20210318,4710,4770,4690,4760,86939900,4643.85
20210319,4750,4750,4670,4670,151268300,4556.046
20210322,4700,4700,4620,4630,60999200,4517.022
20210323,4720,4720,4650,4670,104576700,4556.046
20210324,4730,4730,4650,4670,109556600,4556.046
20210325,4700,4700,4580,4620,86494000,4507.266
20210326,4630,4720,4620,4720,97251100,4604.826
20210329,4780,4780,4720,4720,97096100,4604.826
20210330,4700,4700,4480,4500,195358500,4390.194
20210331,4450,4480,4260,4400,293758300,4292.634
20210401,4350,4370,4210,4290,309252700,4185.318
20210405,4320,4330,4160,4200,314116300,4097.514
20210406,4170,4230,4150,4200,152105800,4097.514
20210407,4230,4240,4160,4200,106319800,4097.514
20210408,4250,4360,4230,4350,144154400,4243.854
20210409,4380,4400,4350,4350,113886800,4243.854
